"DateTime";"Irraggiamento (JB-SM1_AL-1-DOWN)";"Irraggiamento (JB-SM1_AL-1-UP)";"Irraggiamento (JB1_POA-1)";"Irraggiamento (JB1_GHI-1)";"Irraggiamento (JB1_IT-1-1)";"Irraggiamento (JB1_IT-1-2)";"Irraggiamento (JB2_IT-2-2)";"Irraggiamento (JB2_IT-2-1)";"Irraggiamento (JB-SM3_AL-3-DOWN)";"Irraggiamento (JB-SM3_AL-3-UP)";"Irraggiamento (JB-SM3_GHI-3)";"Irraggiamento (JB3_POA-3)";"Irraggiamento (JB3_IT-3-2)";"Irraggiamento (JB3_IT-3-1)"
"2026-03-18 00:00:00";0;-1,84;-1;-1,064;0;0;0;0;0,682;-2;-2;-0,844;0;0
"2026-03-18 00:05:00";0,14;-2;-1;-1,766;0;0;0;0;0,11;-2;-2;-1;0;0
"2026-03-18 00:10:00";0,408;-2;-1,642;-2;0;0;0;0;0;-2;-2;-1,222;0;0
"2026-03-18 00:15:00";0;-2;-2;-2;0;0;0;0;0;-2;-2;-2;0;0
"2026-03-18 00:20:00";0;-2;-1,978;-2;0;0;0;0;0;-2;-2;-1,088;0;0
"2026-03-18 00:25:00";0;-2;-1,012;-2;0;0;0;0;0,464;-2;-2;-1;0;0
"2026-03-18 00:30:00";0;-2;-1;-2;0;0;0;0;0,598;-2;-2;-1;0;0
"2026-03-18 00:35:00";0;-2;-1,158;-2;0;0;0;0;0,044;-2;-2;-1;0;0
"2026-03-18 00:40:00";0;-2;-2;-2;0;0;0;0;0;-2;-2;-1,9;0;0
"2026-03-18 00:45:00";0;-2;-2;-2;0;0;0;0;0;-2,368;-2;-2;0;0
"2026-03-18 00:50:00";0;-2;-2;-2;0;0;0;0;0;-2,288;-2;-2;0;0
"2026-03-18 00:55:00";0;-1,906;-1,612;-1,578;0;0;0;0;0;-2;-1,688;-1,222;0;0
"2026-03-18 01:00:00";0;-1;-1;-1;0;0;0;0;0;-1,256;-1,252;-1;0;0
"2026-03-18 01:05:00";0,326;-1,022;-1;-1,578;0;0;0;0;0;-2;-2;-1;0;0
